,and,CC,O
,live,VBP,OTC
,birth,NN,OTC
,rates,NNS,OTC
,-EOS-,eos,O
Sentence: 33,of,IN,O
,1199,CD,O
,women,NNS,O
,recruited,VBN,O
,to,TO,O
,the,DT,O
,trial,NN,O
,1128,CD,O
,consented,VBD,O
,to,TO,O
,follow-up,NN,O
,-EOS-,eos,O
Sentence: 34,of,IN,O
,these,DT,O
,762,CD,O
,women,NNS,O
,replied,VBD,O
,giving,VBG,O
,pregnancy,NN,O
,details,NNS,O
,-LRB-,-LRB-,O
,68,CD,O
,response,NN,O
,rate,NN,O
,-RRB-,-RRB-,O
,-EOS-,eos,O
Sentence: 35,respondents,NNS,O
,were,VBD,O
,representative,NN,O
,of,IN,O
,the,DT,O
,trial,NN,O
,participants,NNS,O
,-EOS-,eos,O
Sentence: 36,the,DT,OTC
,live,JJ,OTC
,birth,NN,OTC
,rate,VBP,OTC
,5,CD,O
,years,NNS,O
,after,IN,O
,the,DT,O
,index,NN,O
,miscarriage,NN,O
,was,VBD,O
,similar,JJ,O
,in,IN,O
,the,DT,O
,3,CD,O
,management,NN,O
,groups,NNS,O
,177,CD,O
,of,IN,O
,224,CD,O
,-LRB-,-LRB-,O
,79,CD,O
,SPECIAL_TERM,NNP,O
,73,CD,O
,to,TO,O
,84,CD,O
,-RRB-,-RRB-,O
,in,IN,O
,the,DT,O
,expectant,JJ,O
,management,NN,O
,group,NN,O
,181,CD,O
,of,IN,O
,230,CD,O
,-LRB-,-LRB-,O
,79,CD,O
,73,CD,O
,to,TO,O
,84,CD,O
,-RRB-,-RRB-,O
,in,IN,O
,the,DT,O
,medical,JJ,O
,group,NN,O
,and,CC,O
,192,CD,O
,of,IN,O
,235,CD,O
,-LRB-,-LRB-,O
,82,CD,O
,76,CD,O
,to,TO,O
,86,CD,O
,-RRB-,-RRB-,O
,in,IN,O
,the,DT,O
,surgical,JJ,O
,group,NN,O
,-EOS-,eos,O
Sentence: 37,there,EX,O
,was,VBD,O
,also,RB,O
,no,DT,O
,significant,JJ,O
,difference,NN,O
,according,VBG,O
,to,TO,O
,previous,JJ,O
,birth,NN,O
,history,NN,O
,-EOS-,eos,O
Sentence: 38,older,JJR,O
,women,NNS,O
,and,CC,O
,those,DT,O
,with,IN,O
,previous,JJ,O
,miscarriages,NNS,O
,were,VBD,O
,significantly,RB,O
,less,RBR,O
,likely,JJ,O
,to,TO,O
,subsequently,RB,O
,give,VB,O
,birth,NN,O
,-EOS-,eos,O
Sentence: 39,method,NNP,O
,of,IN,O
,miscarriage,JJ,O
,management,NN,O
,does,VBZ,O
,not,RB,O
,affect,VB,O
,subsequent,JJ,O
,pregnancy,NN,OTC
,rates,NNS,OTC
,with,IN,O
,around,RB,O
,4,CD,O
,in,IN,O
,5,CD,O
,women,NNS,O
,giving,VBG,O
,birth,NN,O
,within,IN,O
,5,CD,O
,years,NNS,O
,of,IN,O
,the,DT,O
,index,NN,O
,miscarriage,NN,O
,-EOS-,eos,O
Sentence: 40,women,NNP,O
,can,MD,O
,be,VB,O
,reassured,VBN,O
,that,IN,O
,long,JJ,O
,term,NN,O
,fertility,NN,O
,concerns,NNS,O
,need,VBP,O
,not,RB,O
,affect,VB,O
,their,PRP$,O
,choice,NN,O
,of,IN,O
,miscarriage,JJ,O
,management,NN,O
,-EOS-,eos,O
Sentence: 41,national,NNP,O
,Research,NNP,O
,Register,NNP,O
,N0467011677/N0467073587,NNP,O
,-EOS-,eos,O
Sentence #,Word,POS,Tag
Sentence: 42,randomised,JJ,O
,trial,NN,O
,of,IN,O
,telephone,NN,O
,intervention,NN,O
,in,IN,O
,chronic,JJ,O
,heart,NN,O
,failure,NN,O
,DIAL,JJ,O
,trial,NN,O
,-EOS-,eos,O
Sentence: 43,to,TO,O
,determine,VB,O
,whether,IN,O
,a,DT,O
,centralised,JJ,O
,telephone,NN,O
,intervention,NN,O
,reduces,VBZ,O
,the,DT,OTC
,incidence,NN,OTC
,of,IN,OTC
,death,NN,OTC
,or,CC,O
,admission,NN,OTC
,for,IN,OTC
,worsening,VBG,OTC
,heart,NN,OTC
,failure,NN,OTC
,in,IN,O
,outpatients,NNS,O
,with,IN,O
,chronic,JJ,O
,heart,NN,O
,failure,NN,O
,-EOS-,eos,O
Sentence: 44,multicentre,NNP,O
,randomised,VBD,O
,controlled,JJ,O
,trial,NN,O
,-EOS-,eos,O
Sentence: 45,51,CD,O
,centres,NNS,O
,in,IN,O
,Argentina,NNP,O
,-LRB-,-LRB-,O
,public,JJ,O
,and,CC,O
,private,JJ,O
,hospitals,NNS,O
,and,CC,O
,ambulatory,JJ,O
,settings,NNS,O
,-RRB-,-RRB-,O
,-EOS-,eos,O
Sentence: 46,1518,CD,O
,outpatients,NNS,O
,with,IN,O
,stable,JJ,O
,chronic,JJ,O
,heart,NN,O
,failure,NN,O
,and,CC,O
,optimal,JJ,O
,drug,NN,O
,treatment,NN,O
,randomised,VBD,O
,stratified,JJ,O
,by,IN,O
,attending,VBG,O
,cardiologist,JJ,O
,to,TO,O
,telephone,NN,O
,intervention,NN,O
,or,CC,O
,usual,JJ,O
,care,NN,O
,-EOS-,eos,O
Sentence: 47,education,NNP,O
,counselling,VBG,O
,and,CC,O
,monitoring,VBG,O
,by,IN,O
,nurses,NNS,O
,through,IN,O
,frequent,JJ,O
,telephone,NN,O
,follow-up,NN,O
,in,IN,O
,addition,NN,O
,to,TO,O
,usual,JJ,O
,care,NN,O
,delivered,VBD,O
,from,IN,O
,a,DT,O
,single,JJ,O
,center,NN,O
,-EOS-,eos,O
Sentence: 48,all,DT,OTC
,cause,VBP,OTC
,mortality,NN,OTC
,or,CC,O
,admission,NN,OTC
,to,TO,OTC
,hospital,NN,OTC
,for,IN,OTC
,worsening,VBG,OTC
,heart,NN,OTC
,failure,NN,OTC
,-EOS-,eos,O
Sentence: 49,complete,JJ,O
,follow-up,NN,O
,was,VBD,O
,available,JJ,O
,in,IN,O
,99.5,CD,O
,of,IN,O
,patients,NNS,O
,-EOS-,eos,O
Sentence: 50,the,DT,O
,758,CD,O
,patients,NNS,O
,in,IN,O
,the,DT,O
,usual,JJ,O
,care,NN,O
,group,NN,O
,were,VBD,O
,more,RBR,O
,likely,JJ,O
,to,TO,O
,be,VB,O
,admitted,VBN,OTC
,for,IN,OTC
,worsening,VBG,OTC
,heart,NN,OTC
,failure,NN,OTC
,or,CC,O
,to,TO,O
,die,VB,OTC
,-LRB-,-LRB-,O
,235,CD,O
,events,NNS,O
,31,CD,O
,-RRB-,-RRB-,O
,than,IN,O
,the,DT,O
,760,CD,O
,patients,NNS,O
,who,WP,O
,received,VBD,O
,the,DT,O
,telephone,NN,O
,intervention,NN,O
,-LRB-,-LRB-,O
,200,CD,O
,events,NNS,O
,26.3,CD,O
,-RRB-,-RRB-,O
,-LRB-,-LRB-,O
,SPECIAL_TERM,NNP,O
,=,SYM,O
,20,CD,O
,SPECIAL_TERM,NNP,O
,3,CD,O
,to,TO,O
,34,CD,O
,P,NNP,O
,=,SYM,O
,0.026,CD,O
,-RRB-,-RRB-,O
,-EOS-,eos,O
Sentence: 51,this,DT,O
,benefit,NN,O
,was,VBD,O
,mostly,RB,O
,due,JJ,O
,to,TO,O
,a,DT,O
,significant,JJ,O
,reduction,NN,O
,in,IN,O
,admissions,NNS,OTC
,for,IN,OTC
,heart,NN,OTC
,failure,NN,OTC
,-LRB-,-LRB-,O
,SPECIAL_TERM,VBN,O
,=,SYM,O
,29,CD,O
,P,VB,O
,=,SYM,O
,0.005,CD,O
,-RRB-,-RRB-,O
,-EOS-,eos,O
Sentence: 52,mortality,NNP,OTC
,was,VBD,O
,similar,JJ,O
,in,IN,O
,both,DT,O
,groups,NNS,O
,-EOS-,eos,O
Sentence: 53,at,IN,O
,the,DT,O
,end,NN,O
,of,IN,O
,the,DT,O
,study,NN,O
,the,DT,O
,intervention,NN,O
,group,NN,O
,had,VBD,O
,a,DT,O
,better,JJR,O
,quality,NN,OTC
,of,IN,OTC
,life,NN,OTC
,than,IN,O
,the,DT,O
,usual,JJ,O
,care,NN,O
,group,NN,O
,-LRB-,-LRB-,O
,mean,VB,OTC
,total,JJ,OTC
,score,NN,OTC
,on,IN,OTC
,Minnesota,NNP,OTC
,living,VBG,OTC
,with,IN,OTC
,heart,NN,OTC
,failure,NN,OTC
,questionnaire,NN,OTC
,30.6,CD,O
,versus,CC,O
,35,CD,O
,P,NNP,O
,=,SYM,O
,0.001,CD,O
,-RRB-,-RRB-,O
,-EOS-,eos,O
Sentence: 54,this,DT,O
,simple,JJ,O
,centralised,JJ,O
,heart,NN,O
,failure,NN,O
,program,NN,O
,was,VBD,O
,effective,JJ,O
,in,IN,O
,reducing,VBG,O
,the,DT,O
,primary,JJ,O
,end,NN,O
,point,NN,O
,through,IN,O
,a,DT,O
,significant,JJ,O
,reduction,NN,O
,in,IN,O
,admissions,NNS,OTC
,to,TO,OTC
,hospital,NN,OTC
,for,IN,OTC
,heart,NN,OTC
,failure,NN,OTC
,-EOS-,eos,O
Sentence #,Word,POS,Tag
Sentence: 55,recurrence,JJ,O
,up,IN,O
,to,TO,O
,3.5,CD,O
,years,NNS,O
,after,IN,O
,antibiotic,JJ,O
,treatment,NN,O
,of,IN,O
,acute,JJ,O
,otitis,NNS,O
,media,NNS,O
,in,IN,O
,very,RB,O
,young,JJ,O
,Dutch,JJ,O
,children,NNS,O
,survey,NN,O
,of,IN,O
,trial,NN,O
,participants,NNS,O
,-EOS-,eos,O
Sentence: 56,julius,none,O
,Center,none,O
,for,none,O
,Health,none,O
,Sciences,none,O
,and,none,O
,Primary,none,O
,Care,none,O
,University,none,O
,Medical,none,O
,Center,none,O
,Utrecht,none,O
,PO,none,O
,Box,none,O
,85060,none,O
,3508,none,O
,AB,none,O
,Utrecht,none,O
,Netherlands,none,O
,-EOS-,eos,O
Sentence: 57,to,TO,O
,determine,VB,O
,the,DT,O
,long,JJ,O
,term,NN,O
,effects,NNS,O
,of,IN,O
,antibiotic,JJ,O
,treatment,NN,O
,for,IN,O
,acute,JJ,O
,otitis,VBZ,O
,media,NNS,O
,in,IN,O
,young,JJ,O
,children,NNS,O
,-EOS-,eos,O
Sentence: 58,prospective,JJ,O
,3,CD,O
,year,NN,O
,follow-up,NN,O
,study,NN,O
,within,IN,O
,the,DT,O
,framework,NN,O
,of,IN,O
,a,DT,O
,primary,JJ,O
,care,NN,O
,based,VBN,O
,double,JJ,O
,blind,JJ,O
,randomised,VBN,O
,placebo,NN,O
,controlled,JJ,O
,trial,NN,O
,-EOS-,eos,O
Sentence: 59,53,CD,O
,general,JJ,O
,practices,NNS,O
,in,IN,O
,the,DT,O
,Netherlands,NNPS,O
,-EOS-,eos,O
Sentence: 60,168,CD,O
,children,NNS,O
,aged,VBN,O
,6,CD,O
,months,NNS,O
,to,TO,O
,2,CD,O
,years,NNS,O
,with,IN,O
,acute,JJ,O
,otitis,NNS,O
,media,NNS,O
,-EOS-,eos,O
Sentence: 61,amoxicillin,NNP,O
,40,CD,O
,mg,VBP,O
,/,JJ,O
,kg,NN,O
,/,JJ,O
,day,NN,O
,in,IN,O
,3,CD,O
,doses,NNS,O
,compared,VBN,O
,with,IN,O
,placebo,NN,O
,-EOS-,eos,O
Sentence: 62,recurrence,NNP,O
,of,IN,O
,acute,JJ,O
,otitis,NNS,O
,media,NNS,O
,referral,NN,O
,to,TO,O
,secondary,JJ,O
,care,NN,O
,ear,NN,O
,nose,NN,O
,and,CC,O
,throat,NN,O
,surgery,NN,O
,-EOS-,eos,O
Sentence: 63,acute,JJ,OTC
,otitis,NNS,OTC
,media,NNS,OTC
,recurred,VBD,OTC
,in,IN,O
,63,CD,O
,-LRB-,-LRB-,O
,47,CD,O
,of,IN,O
,75,CD,O
,-RRB-,-RRB-,O
,of,IN,O
,children,NNS,O
,in,IN,O
,the,DT,O
,amoxicillin,NNP,O
,group,NN,O
,and,CC,O
,in,IN,O
,43,CD,O
,-LRB-,-LRB-,O
,37,CD,O
,of,IN,O
,86,CD,O
,-RRB-,-RRB-,O
,of,IN,O
,the,DT,O
,placebo,NN,O
,group,NN,O
,-LRB-,-LRB-,O
,risk,NN,O
,difference,NN,O
,20,CD,O
,SPECIAL_TERM,NNP,O
,5,CD,O
,to,TO,O
,35,CD,O
,-RRB-,-RRB-,O
,30,CD,O
,-LRB-,-LRB-,O
,24,CD,O
,of,IN,O
,78,CD,O
,amoxicillin,NNS,O
,27,CD,O
,of,IN,O
,89,CD,O
,placebo,NN,O
,-RRB-,-RRB-,O
,of,IN,O
,children,NNS,O
,in,IN,O
,both,DT,O
,groups,NNS,O
,were,VBD,O
,referred,VBN,OTC
,to,TO,OTC
,secondary,JJ,OTC
,care,NN,OTC
,and,CC,O
,21,CD,O
,-LRB-,-LRB-,O
,16,CD,O
,of,IN,O
,78,CD,O
,-RRB-,-RRB-,O
,of,IN,O
,the,DT,O
,amoxicillin,NNP,O
,group,NN,O
,compared,VBN,O
,with,IN,O
,30,CD,O
,-LRB-,-LRB-,O
,27,CD,O
,of,IN,O
,90,CD,O
,-RRB-,-RRB-,O
,of,IN,O
,the,DT,O
,placebo,NN,O
,group,NN,O
,had,VBN,OTC
,ear,NN,OTC
,nose,NN,OTC
,and,CC,OTC
,throat,NN,OTC
,surgery,NN,OTC
,-LRB-,-LRB-,O
,risk,NN,O
,difference,NN,O
,-9,NN,O
,-23,CD,O
,to,TO,O
,4,CD,O
,-RRB-,-RRB-,O
,-EOS-,eos,O
Sentence: 64,recurrent,JJ,O
,acute,JJ,O
,otitis,NN,O
,media,NNS,O
,occurred,VBD,O
,more,RBR,O
,often,RB,O
,in,IN,O
,the,DT,O
,children,NNS,O
,originally,RB,O
,treated,VBN,O
,with,IN,O
,amoxicillin,NNP,O
,-EOS-,eos,O
Sentence: 65,this,DT,O
,is,VBZ,O
,another,DT,O
,argument,NN,O
,for,IN,O
,judicious,JJ,O
,use,NN,O
,of,IN,O
,antibiotics,NNS,O
,in,IN,O
,children,NNS,O
,with,IN,O
,acute,JJ,O
,otitis,NNS,O
,media,NNS,O
,-EOS-,eos,O
Sentence: 66,trial,NNP,O
,registration,NNP,O
,Netherlands,NNP,O
,Trial,NNP,O
,Register,NNP,O
,NTR1426,NNP,O
,-EOS-,eos,O
Sentence #,Word,POS,Tag
Sentence: 67,components,NNP,O
,of,IN,O
,placebo,NN,O
,effect,NN,O
,randomised,JJ,O
,controlled,JJ,O
,trial,NN,O
,in,IN,O
,patients,NNS,O
,with,IN,O
,irritable,JJ,O
,bowel,NN,O
,syndrome,NN,O
,-EOS-,eos,O
Sentence: 68,osher,none,O
,Research,none,O
,Center,none,O
,Harvard,none,O
,Medical,none,O
,School,none,O
,401,none,O
,Park,none,O
,Drive,none,O
,Boston,none,O
,MA,none,O
,02215,none,O
,USA,none,O
,-EOS-,eos,O
